SPAD,CROP,A/L,L/F,NAMEOFIMAGE
41.5,CABBAGE,ATOK,L,IMG_20250320_070522.jpg
28.7,CABBAGE,ATOK,L,IMG_20250320_070618.jpg
33.2,CABBAGE,ATOK,L,IMG_20250320_070638.jpg
45.3,CABBAGE,ATOK,L,IMG_20250320_070835.jpg
35.3,CABBAGE,ATOK,L,IMG_20250320_070901.jpg
32.2,CABBAGE,ATOK,L,IMG_20250320_070927.jpg
42.3,CABBAGE,ATOK,L,IMG_20250320_070946.jpg
32.9,CABBAGE,ATOK,L,IMG_20250320_071006.jpg
29.7,CABBAGE,ATOK,L,IMG_20250320_071025.jpg
47.3,CABBAGE,ATOK,L,IMG_20250320_071050.jpg
36.2,CABBAGE,ATOK,L,IMG_20250320_071113.jpg
37.6,CABBAGE,ATOK,L,IMG_20250320_071134.jpg
39.9,CABBAGE,ATOK,L,IMG_20250320_071202.jpg
35.2,CABBAGE,ATOK,L,IMG_20250320_071241.jpg
38.6,CABBAGE,ATOK,L,IMG_20250320_071308.jpg
47.7,CABBAGE,ATOK,L,IMG_20250320_071334.jpg
46.5,CABBAGE,ATOK,L,IMG_20250320_071354.jpg
42.8,CABBAGE,ATOK,L,IMG_20250320_071425.jpg
35.2,CABBAGE,ATOK,L,IMG_20250320_071520.jpg
45.1,CABBAGE,ATOK,L,IMG_20250320_071615.jpg
42.3,CABBAGE,ATOK,L,IMG_20250320_071641.jpg
35.8,CABBAGE,ATOK,L,IMG_20250320_071712.jpg
16.7,CABBAGE,ATOK,L,IMG_20250320_071732.jpg
37.4,CABBAGE,ATOK,L,IMG_20250320_071752.jpg
33.1,CABBAGE,ATOK,L,IMG_20250320_071812.jpg
11.4,CABBAGE,ATOK,L,IMG_20250320_071826.jpg
23.5,CABBAGE,ATOK,L,IMG_20250320_071846.jpg
24.5,CABBAGE,ATOK,L,IMG_20250320_071913.jpg
46.0,CABBAGE,ATOK,L,IMG_20250320_071941.jpg
28.0,CABBAGE,ATOK,L,IMG_20250320_071956.jpg
40.0,CABBAGE,ATOK,L,IMG_20250320_072011.jpg
37.1,CABBAGE,ATOK,L,IMG_20250320_072030.jpg
42.6,CABBAGE,ATOK,L,IMG_20250320_072046.jpg
35.5,CABBAGE,ATOK,L,IMG_20250320_072107.jpg
31.6,CABBAGE,ATOK,L,IMG_20250320_072127.jpg
27.5,CABBAGE,ATOK,L,IMG_20250320_072147.jpg
54.4,CABBAGE,ATOK,L,IMG_20250320_072208.jpg
37.0,CABBAGE,ATOK,L,IMG_20250320_072224.jpg
5.1,CABBAGE,ATOK,L,IMG_20250320_072235.jpg
44.2,CABBAGE,ATOK,L,IMG_20250320_072249.jpg
41.9,CABBAGE,ATOK,L,IMG_20250320_072318.jpg
36.1,CABBAGE,ATOK,L,IMG_20250320_072341.jpg
39.7,CABBAGE,ATOK,L,IMG_20250320_072402.jpg
38.0,CABBAGE,ATOK,L,IMG_20250320_072417.jpg
40.2,CABBAGE,ATOK,L,IMG_20250320_072446.jpg
39.6,CABBAGE,ATOK,L,IMG_20250320_072502.jpg
39.9,CABBAGE,ATOK,L,IMG_20250320_072610.jpg
46.3,CABBAGE,ATOK,L,IMG_20250320_072629.jpg
43.3,CABBAGE,ATOK,L,IMG_20250320_072703.jpg
36.1,CABBAGE,ATOK,L,IMG_20250320_072738.jpg
26.7,CABBAGE,ATOK,L,IMG_20250320_072805.jpg
56.3,CABBAGE,ATOK,L,IMG_20250320_072823.jpg
27.5,CABBAGE,ATOK,L,IMG_20250320_072843.jpg
47.8,CABBAGE,ATOK,L,IMG_20250320_072910.jpg
51.0,CABBAGE,ATOK,L,IMG_20250320_072940.jpg
37.2,CABBAGE,ATOK,L,IMG_20250320_073007.jpg
42.8,CABBAGE,ATOK,L,IMG_20250320_073029.jpg
16.8,CABBAGE,ATOK,L,IMG_20250320_073048.jpg
5.5,CABBAGE,ATOK,L,IMG_20250320_073109.jpg
46.2,CABBAGE,ATOK,L,IMG_20250320_073136.jpg
34.1,CABBAGE,ATOK,L,IMG_20250320_073152.jpg
44.9,CABBAGE,ATOK,L,IMG_20250320_073226.jpg
29.1,CABBAGE,ATOK,L,IMG_20250320_073242.jpg
40.3,CABBAGE,ATOK,L,IMG_20250320_073255.jpg
39.5,CABBAGE,ATOK,L,IMG_20250320_073308.jpg
35.2,CABBAGE,ATOK,L,IMG_20250320_073333.jpg
28.7,CABBAGE,ATOK,L,IMG_20250320_073354.jpg
40.3,CABBAGE,ATOK,L,IMG_20250320_073423.jpg
29.0,CABBAGE,ATOK,L,IMG_20250320_073439.jpg
40.0,CABBAGE,ATOK,L,IMG_20250320_073508.jpg
45.4,CABBAGE,ATOK,L,IMG_20250320_073519.jpg
18.9,CABBAGE,ATOK,L,IMG_20250320_073531.jpg
31.7,CABBAGE,ATOK,L,IMG_20250320_073602.jpg
38.2,CABBAGE,ATOK,L,IMG_20250320_073631.jpg
37.1,CABBAGE,ATOK,L,IMG_20250320_073701.jpg
33.3,CABBAGE,ATOK,L,IMG_20250320_073826.jpg
